net,metric,stat_gr,df_gr,ges_gr,p_gr,stat_st,df_st,ges_st,p_st,stat_int,df_int,ges_int,p_int,p_gr_fdr,p_st_fdr,p_int_fdr,p_gr_bonf,p_st_bonf,p_int_bonf
SAL,Sigma,0.102760960701984,"1, 25",0.002425199941195,0.751205374020611,1.31090363960524,"1, 25",0.020973757849232,0.263074417136109,9.19687583316421,"1, 25",0.130659602315326,0.005582043282303,0.802297006526788,0.294643347192443,0.01202286245419,1,1,0.31259442380894
SUB,EG,0.071462416237109,"1, 25",0.001414972909768,0.791412284963608,0.668908035622682,"1, 25",0.013313377727141,0.42115964658085,71.9638795937733,"1, 25",0.592108793984114,7.93542014952473E-09,0.820723851073371,0.462449808010345,4.93759475970428E-08,1,1,4.44383528373385E-07
SUB,EL,7.86173407446728,"1, 25",0.143921460558538,0.009621776125699,4.63582907577854,"1, 25",0.079443587687003,0.041152523013802,81.5866904870093,"1, 25",0.602985413257624,2.39787572067626E-09,0.017960648767972,0.059090802276228,2.23801733929784E-08,0.538819463039143,1,1.3428104035787E-07
SUB,D,0.262833114783492,"1, 25",0.005597629970352,0.612680689274386,14.004855161627,"1, 25",0.206506603090787,0.000957324979734,209.281682312303,"1, 25",0.795461171692868,1.18508758268189E-13,0.686202371987312,0.00206193072558,2.21216348767287E-12,1,0.053610198865082,6.6364904630186E-12
SUB,S,0.147397503215352,"1, 25",0.003037451650843,0.704280860646136,1.34233652215155,"1, 25",0.025291131362632,0.257570373033187,17.8919498483528,"1, 25",0.256975948301121,0.000274016910128,0.773328003846737,0.294366140609357,0.000697497589416,1,1,0.015344946967155
SUB,CP,8.5259228777633,"1, 25",0.132793879598729,0.007313010600282,3.85900119482786,"1, 25",0.078384428126469,0.060688479487055,6.48094948892917,"1, 25",0.124985331691759,0.017447404021949,0.014121675641924,0.082891581738416,0.033691538801004,0.409528593615789,1,0.977054625229112
SUB,LP,19.082124456104,"1, 25",0.261229159140698,0.000191560699829,0.291205051336761,"1, 25",0.006213205859878,0.594223732034193,5.41312176974949,"1, 25",0.104117228552796,0.028384574945513,0.00048760905411,0.639933249882977,0.048167763543901,0.010727399190417,1,1
SUB,Sigma,5.28299406380188,"1, 25",0.095598394689919,0.030172920693065,3.23662080016533,"1, 25",0.060773325847776,0.084093112021595,27.429360866733,"1, 25",0.354155725421783,2.0193603299003E-05,0.049696575259165,0.109516611004867,7.53894523162777E-05,1,1,0.001130841784744
VAN,EG,0.96898404026286,"1, 25",0.025306854310636,0.334365162860789,37.4152386810895,"1, 25",0.330686659856208,2.15116002847499E-06,174.284744507994,"1, 25",0.697101088647436,9.04232786624609E-13,0.398392534472429,8.03099743963996E-06,1.01274072101956E-11,1,0.000120464961595,5.06370360509781E-11
VAN,EL,3.40804734765934,"1, 25",0.051248465761359,0.076753086808122,1.4091063650642,"1, 25",0.032910307358257,0.246362351369657,23.7720188330626,"1, 25",0.364716306306244,5.14264830300682E-05,0.110209560544996,0.2874227432646,0.000169404885276,1,1,0.002879883049684
